nombre,genero,anio_nacimiento,nacionalidad,status,ocupacion,anio_mision,edad_mision,mision_hs,eva_mision_hs
Clayton C. Anderson,masculino,1959,EE.UU.,civil,especialista aeroespacial,2010,51,363,20.28
Tracy E. Caldwell,femenino,1969,EE.UU.,civil,ingeniero aeroespacial,2010,41,4220,22.81
Alvin Benjamin Drew,masculino,1962,EE.UU.,militar,especialista aeroespacial,2011,49,307,12.8
George D. Zamka,masculino,1962,EE.UU.,militar,comandante,2010,48,306.1,0
Douglas H. Wheelock,masculino,1960,EE.UU.,militar,ingeniero aeroespacial,2010,50,3912,22.82
Paolo A. Nespoli,masculino,1957,Italia,militar,ingeniero aeroespacial,2010,53,3823.28,0
Paolo A. Nespoli,masculino,1957,Italia,militar,ingeniero aeroespacial,2017,60,3328.93,0
Alan G. Poindexter,masculino,1961,EE.UU.,militar,comandante,2010,49,363,0
Gregory H. Johnson,masculino,1962,EE.UU.,militar,piloto,2011,49,377,0
Robert L. Behnken,masculino,1970,EE.UU.,militar,especialista aeroespacial,2010,40,330,18.23
Garrett E. Reisman,masculino,1968,EE.UU.,civil,especialista aeroespacial,2010,42,282,14.18
Sergei Volkov,masculino,1973,U.S.S.R/Rusia,militar,comandante,2011,38,4014,6.23
Sergei Volkov,masculino,1973,U.S.S.R/Rusia,militar,comandante,2015,42,4003,4.72
Oleg D. Kononenko,masculino,1964,U.S.S.R/Rusia,militar,comandante,2011,47,4626,6.25
Oleg D. Kononenko,masculino,1964,U.S.S.R/Rusia,militar,comandante,2015,51,3400,0
Oleg D. Kononenko,masculino,1964,U.S.S.R/Rusia,militar,comandante,2018,54,4887,13.75
Kenneth T. Ham,masculino,1964,EE.UU.,militar,comandante,2010,46,282,0
Karen L. Nyberg,femenino,1969,EE.UU.,civil,ingeniero aeroespacial,2013,44,3990,0
Akihiko Hoshide,masculino,1968,Japon,civil,ingeniero aeroespacial,2012,44,3047.25,21.38
Gregory Chamitoff,masculino,1962,EE.UU.,civil,especialista aeroespacial,2011,49,377.5,13.72
Haipeng Jing,masculino,1966,China,militar,comandante,2012,46,303.5,0
Haipeng Jing,masculino,1966,China,militar,comandante,2016,50,774.5,0
Eric A. Boe,masculino,1964,EE.UU.,militar,piloto,2011,47,307,0
Stephen G. Bowen,masculino,1964,EE.UU.,militar,especialista aeroespacial,2010,46,283,14.57
Stephen G. Bowen,masculino,1964,EE.UU.,militar,especialista aeroespacial,2011,47,307,12.8
Robert S. Kimbrough,masculino,1967,EE.UU.,militar,ingeniero aeroespacial,2016,49,10383.25,26
Dominic A. Antonelli,masculino,1967,EE.UU.,militar,piloto,2010,43,281.5,0
Joseph M. Acaba,masculino,1967,EE.UU.,civil,ingeniero aeroespacial,2012,45,2928,0
Joseph M. Acaba,masculino,1967,EE.UU.,civil,ingeniero aeroespacial,2017,50,4037.23,6.98
Richard R. Arnold II,masculino,1963,EE.UU.,civil,ingeniero aeroespacial,2018,55,4722,19.5
Michael R. Barratt,masculino,1959,EE.UU.,civil,especialista aeroespacial,2011,52,307,0
Michael T. Good,masculino,1962,EE.UU.,militar,especialista aeroespacial,2010,48,282.15,13.92
Andrew J. Feustel,masculino,1965,EE.UU.,civil,especialista aeroespacial,2011,46,378,21.3
Andrew J. Feustel,masculino,1965,EE.UU.,civil,ingeniero aeroespacial,2018,53,4722,19.5
Roman Romanenko,masculino,1971,U.S.S.R/Rusia,militar,ingeniero aeroespacial,2012,41,3494,6.62
Douglas G. Hurley,masculino,1966,EE.UU.,militar,piloto,2011,45,306,0
Christopher J. Cassidy,masculino,1970,EE.UU.,militar,ingeniero aeroespacial,2013,43,3990,13.5
Thomas H. Marshburn,masculino,1960,EE.UU.,militar,ingeniero aeroespacial,2013,53,3494,5.5
Timothy L. Kopra,masculino,1963,EE.UU.,militar,ingeniero aeroespacial,2015,52,1920,7.98
Kevin A. Ford,masculino,1960,EE.UU.,militar,comandante,2012,52,3448,0
Nicole P. Stott,femenino,1962,EE.UU.,civil,especialista aeroespacial,2011,49,307,0
Maksim Surayev,masculino,1972,U.S.S.R/Rusia,militar,comandante,2014,42,3968,3.68
Barry E. Wilmore,masculino,1962,EE.UU.,militar,ingeniero aeroespacial,2014,52,4013,25.67
Randolph J. Bresnik,masculino,1967,EE.UU.,militar,ingeniero aeroespacial,2017,50,3328.93,19.5
Terry W. Virts Jr.,masculino,1967,EE.UU.,militar,piloto,2010,43,330.1,0
Terry W. Virts Jr.,masculino,1967,EE.UU.,militar,ingeniero aeroespacial,2014,47,4783.5,19.1
Aleksandr Jr. Skvortsov,masculino,1966,U.S.S.R/Rusia,militar,comandante,2010,44,4225,0
Aleksandr Jr. Skvortsov,masculino,1966,U.S.S.R/Rusia,militar,comandante,2014,48,4061,12.67
Aleksandr Jr. Skvortsov,masculino,1966,U.S.S.R/Rusia,militar,comandante,2019,53,4302.98,0
Mikhail Korniyenko,masculino,1960,U.S.S.R/Rusia,civil,ingeniero aeroespacial,2010,50,4225,6.72
Mikhail Korniyenko,masculino,1960,U.S.S.R/Rusia,civil,ingeniero aeroespacial,2015,55,7798,5.57
James P. Dutton,masculino,1968,EE.UU.,militar,piloto,2010,42,362,0
Dorothy M. Metcalf-Lindenburger,femenino,1975,EE.UU.,civil,especialista aeroespacial,2010,35,362,0
Naoko Yamazaki,femenino,1970,Japon,civil,especialista aeroespacial,2010,40,362.8,0
Shannon Walker,femenino,1965,EE.UU.,civil,ingeniero aeroespacial,2010,45,3919.18,0
Oleg Skripochka,masculino,1969,U.S.S.R/Rusia,civil,ingeniero aeroespacial,2010,41,3824,16.65
Oleg Skripochka,masculino,1969,U.S.S.R/Rusia,civil,ingeniero aeroespacial,2016,47,4131.77,0
Oleg Skripochka,masculino,1969,U.S.S.R/Rusia,civil,comandante,2019,50,2697.53,0
Dmitri Kondratyev,masculino,1969,U.S.S.R/Rusia,militar,comandante,2010,41,3823,10.2
Aleksandr Samokutyayev,masculino,1970,U.S.S.R/Rusia,militar,comandante,2011,41,3941,6.37
Aleksandr Samokutyayev,masculino,1970,U.S.S.R/Rusia,militar,comandante,2014,44,4013,3.63
Andrei Borisenko,masculino,1964,U.S.S.R/Rusia,militar,ingeniero aeroespacial,2011,47,3941,0
Andrei Borisenko,masculino,1964,U.S.S.R/Rusia,militar,ingeniero aeroespacial,2016,52,10383.25,0
Satoshi Furukawa,masculino,1964,Japon,civil,ingeniero aeroespacial,2011,47,4014,0
Anton Shkaplerov,masculino,1972,U.S.S.R/Rusia,militar,comandante,2011,39,3967,6.25
Anton Shkaplerov,masculino,1972,U.S.S.R/Rusia,militar,comandante,2014,42,4792,0
Anton Shkaplerov,masculino,1972,U.S.S.R/Rusia,militar,comandante,2017,45,4037,8.22
Anatoli Ivanishin,masculino,1969,U.S.S.R/Rusia,militar,comandante,2011,42,3967,0
Anatoli Ivanishin,masculino,1969,U.S.S.R/Rusia,militar,ingeniero aeroespacial,2016,47,2762,0
Sergei Revin,masculino,1966,U.S.S.R/Rusia,civil,ingeniero aeroespacial,2012,46,2999,0
Wang Liu,masculino,1969,China,militar,ingeniero aeroespacial,2012,43,303.5,0
Yang Liu,femenino,1978,China,militar,ingeniero aeroespacial,2012,34,303.5,0
Oleg Novitski,masculino,1971,U.S.S.R/Rusia,militar,comandante,2012,41,3448,0
Oleg Novitski,masculino,1971,U.S.S.R/Rusia,militar,comandante,2016,45,4721.83,0
Yevgeni Tarelkin,masculino,1974,U.S.S.R/Rusia,militar,ingeniero aeroespacial,2012,38,3448,0
Aleksandr Misurkin,masculino,1977,U.S.S.R/Rusia,militar,ingeniero aeroespacial,2013,36,3990.25,20.03
Aleksandr Misurkin,masculino,1977,U.S.S.R/Rusia,militar,comandante,2017,40,4037.25,8.22
Luca Parmitano,masculino,1976,Italia,militar,ingeniero aeroespacial,2013,37,3990.28,7.65
Luca Parmitano,masculino,1976,Italia,militar,ingeniero aeroespacial,2019,43,4303.03,19.23
Xiaoguang Zhang,masculino,1968,China,militar,ingeniero aeroespacial,2013,45,350,0
Yapi Wang,masculino,1980,China,militar,ingeniero aeroespacial,2013,33,350,0
Sergei Ryazanski,masculino,1974,U.S.S.R/Rusia,civil,ingeniero aeroespacial,2013,39,3990,19.92
Sergei Ryazanski,masculino,1974,U.S.S.R/Rusia,civil,comandante,2017,43,3328.93,7
Michael Scott Hopkins,masculino,1968,EE.UU.,militar,ingeniero aeroespacial,2013,45,3990.42,12.97
Oleg Artemyev,masculino,1970,U.S.S.R/Rusia,militar,ingeniero aeroespacial,2014,44,4062,12.57
Oleg Artemyev,masculino,1970,U.S.S.R/Rusia,militar,comandante,2018,48,4722,7.77
Gregory Reid Wiseman,masculino,1975,EE.UU.,militar,especialista aeroespacial,2014,39,3968.1,12.78
Alexander Gerst,masculino,1976,Alemania,civil,ingeniero aeroespacial,2014,38,3968.02,6.22
Alexander Gerst,masculino,1976,Alemania,civil,ingeniero aeroespacial,2018,42,4721.82,0
Yelena Serova,femenino,1976,U.S.S.R/Rusia,civil,ingeniero aeroespacial,2014,38,4013,0
Samantha Cristofretti,femenino,1977,Italia,militar,ingeniero aeroespacial,2014,37,4783.5,0
Kimiya Yui,masculino,1970,Japon,militar,ingeniero aeroespacial,2015,45,3400,0
Kjell Norwood Lindgren,masculino,1973,EE.UU.,militar,ingeniero aeroespacial,2015,42,3400.15,15.07
Andreas Mogensen,masculino,1976,Dinamarca,civil,ingeniero aeroespacial,2015,39,236.23,0
Aidyn (Aydyn) Akanovich Aimbetov,masculino,1972,Kazajistan,militar,ingeniero aeroespacial,2015,43,236.23,0
Timothy Nigel Peake,masculino,1972,Reino Unido,militar,piloto,2015,43,4462,4.72
Aleksey Ovchinin,masculino,1971,U.S.S.R/Rusia,militar,comandante,2016,45,4132,0
Aleksey Ovchinin,masculino,1971,U.S.S.R/Rusia,militar,comandante,2019,48,0,0
Aleksey Ovchinin,masculino,1971,U.S.S.R/Rusia,militar,comandante,2019,48,4863.75,6
Takuya Onishi,masculino,1975,Japon,civil,ingeniero aeroespacial,2016,41,6902.35,0
Kathleen Rubins,femenino,1978,EE.UU.,civil,ingeniero aeroespacial,2016,38,6902.35,12.77
Dong Chen,masculino,1978,China,militar,ingeniero aeroespacial,2016,38,774.5,0
Sergey Ryzhikov,masculino,1974,U.S.S.R/Rusia,militar,comandante,2016,42,10383.25,0
Thomas Pesquet,masculino,1978,Francia,civil,ingeniero aeroespacial,2016,38,4721.83,13
Jack Fischer,masculino,1974,EE.UU.,militar,ingeniero aeroespacial,2017,43,3258.13,7
Mark Vande Hei,masculino,1966,EE.UU.,militar,ingeniero aeroespacial,2017,51,4037.23,27
Scott Tingle,masculino,1965,EE.UU.,militar,ingeniero aeroespacial,2017,52,4037,7.4
Norishige Kanai,masculino,1976,Japon,civil,ingeniero aeroespacial,2017,41,4037,5.95
Sergei Prokopyev,masculino,1975,U.S.S.R/Rusia,militar,comandante,2018,43,4722,15.52
Serena M. Au��n-Chancellor,femenino,1976,EE.UU.,civil,ingeniero aeroespacial,2018,42,4722,0
Tyler Hague,masculino,1975,EE.UU.,militar,ingeniero aeroespacial,2018,43,0,19.93
Tyler Hague,masculino,1975,EE.UU.,militar,ingeniero aeroespacial,2019,44,4864,19.93
David Saint-Jaques,masculino,1970,Canada,civil,ingeniero aeroespacial,2018,48,4887,6.5
Anne Charlotte McClain,femenino,1979,EE.UU.,militar,ingeniero aeroespacial,2018,39,4887,13.13
Christina Koch,femenino,1979,EE.UU.,civil,ingeniero aeroespacial,2019,40,7372.3,27.8
Andrew Morgan,masculino,1976,EE.UU.,militar,ingeniero aeroespacial,2019,43,4303.08,39.52
Jessica Meir,femenino,1977,EE.UU.,civil,ingeniero aeroespacial,2019,42,2697.6,7.28
Hazzaa Al Mansoori,masculino,1983,Emiratos Arabes Unidos,militar,participante de vuelo espacial,2019,36,189,0
